2425 2375 
3125 2325 
1025 2275 
3875 2275 
4525 2225 
1775 2175 
1925 2075 
875 2025 
2725 2025 
625 1925 
4775 1925 
4025 1825 
1525 1775 
2975 1725 
125 1675 
3625 1675 
1225 1625 
3725 1575 
1625 1525 
2675 1475 
575 1425 
3325 1425 
2575 1375 
725 1325 
4625 1275 
1475 1225 
2125 1175 
3575 1175 
2825 1075 
325 1025 
4475 975 
4225 925 
2375 875 
1325 825 
4825 825 
3425 775 
275 725 
925 675 
4175 625 
175 575 
4325 575 
2225 475 
3275 475 
3025 425 
1175 375 
425 275 
2075 225 
3925 225 
1825 175 
2525 125 
