1848.7130 935.0097 213.0055 1.6517 
1860.6172 929.2057 211.2272 1.6817 
1871.0816 924.3494 209.3905 1.7065 
1880.5925 919.4348 207.6815 1.7283 
1889.3447 914.5562 206.1092 1.7476 
1896.9697 910.3930 204.8247 1.7645 
1903.6577 906.6727 203.7230 1.7798 
1909.7163 903.0571 202.4478 1.7935 
1915.3270 899.3943 201.2863 1.8067 
1920.8770 896.0038 200.4204 1.8193 
1926.3487 893.1046 200.3161 1.8311 
1931.6081 890.5498 200.3223 1.8426 
1936.5839 888.8310 200.4481 1.8542 
1941.2664 888.2693 200.5761 1.8663 
1945.8386 888.4404 200.6983 1.8776 
1950.5196 889.0344 200.8187 1.8891 
1955.1494 890.3831 200.9454 1.9004 
1959.5769 892.3091 201.1577 1.9114 
1963.8483 894.4918 201.3903 1.9224 
1968.1465 897.0665 201.7186 1.9338 
1972.3135 900.2143 202.0174 1.9456 
1976.3948 903.9238 202.3263 1.9569 
1980.7309 908.1324 202.6479 1.9684 
1984.8339 913.0534 202.9736 1.9805 
1988.9885 918.4718 203.5250 1.9929 
1993.0690 924.7812 203.7884 2.0050 
1997.2331 931.2012 204.0536 2.0168 
2001.4443 937.6960 204.3911 2.0277 
2005.4265 944.4263 204.6887 2.0382 
2009.0567 951.2386 204.8952 2.0488 
2012.1326 958.5765 205.1140 2.0594 
2015.2225 966.0877 205.6110 2.0700 
2018.4748 973.4886 206.2935 2.0800 
2021.8937 980.6426 206.9494 2.0896 
2025.4903 987.3480 207.6037 2.0990 
2028.9629 993.9419 208.1749 2.1078 
2032.1038 1000.2549 208.7575 2.1163 
2035.3410 1006.3007 209.1362 2.1250 
2038.4786 1012.2046 209.4678 2.1336 
2041.4738 1018.0900 209.7957 2.1414 
2044.2304 1023.8939 210.2297 2.1492 
2046.4732 1029.4099 211.0937 2.1566 
2048.4518 1034.2329 211.8845 2.1641 
2049.8720 1039.0330 212.7474 2.1716 
2051.3732 1043.8106 213.6487 2.1796 
2052.7738 1048.5612 214.3402 2.1882 
2053.7961 1053.1358 214.9334 2.1970 
2054.8934 1057.6358 215.3825 2.2054 
2055.9281 1062.3445 215.9831 2.2143 
2057.0179 1066.9017 216.5612 2.2228 
2057.9145 1071.4262 217.0826 2.2316 
2058.6321 1075.6642 217.5661 2.2401 
2059.2690 1079.5637 218.0448 2.2481 
2060.1255 1083.0947 218.7814 2.2558 
2061.2081 1086.4928 219.6358 2.2635 
2062.1348 1089.7526 220.8716 2.2714 
2062.7915 1093.0328 222.1411 2.2795 
2063.5665 1096.1611 223.0444 2.2874 
2064.1216 1098.9786 223.9184 2.2952 
2064.4821 1101.4992 224.7724 2.3033 
2065.1231 1103.7600 225.6044 2.3112 
2065.8742 1105.8895 226.4631 2.3184 
2066.5519 1107.7539 227.2949 2.3247 
2067.0225 1109.5745 228.0866 2.3309 
2067.4347 1111.5097 228.8307 2.3368 
2068.0164 1113.2154 229.5494 2.3421 
2068.6219 1114.7750 230.2423 2.3474 
2069.0755 1116.3809 230.8847 2.3528 
2069.5418 1117.9987 231.7216 2.3581 
2070.1566 1119.5059 232.5242 2.3629 
2070.7690 1120.9109 233.3373 2.3674 
2071.2488 1122.2288 234.1587 2.3716 
2071.7509 1123.5203 234.9682 2.3755 
2072.3869 1124.6531 235.7157 2.3789 
2073.1409 1125.5692 236.4448 2.3821 
2073.8985 1126.3548 237.1549 2.3852 
2074.6858 1127.0672 237.8343 2.3879 
2075.4953 1127.6007 238.5021 2.3901 
2076.2960 1127.9535 239.1459 2.3919 
2076.9275 1128.2280 239.7853 2.3934 
2077.4104 1128.6822 240.4103 2.3947 
2077.8498 1129.3371 241.0052 2.3960 
2078.3378 1130.0635 241.5638 2.3973 
2078.7839 1130.7172 242.0962 2.3985 
2079.1848 1131.2097 242.6037 2.3994 
2079.5394 1131.6148 243.0988 2.4001 
2079.8547 1132.0275 243.5649 2.4008 
2080.1378 1132.4294 244.0078 2.4014 
2080.4283 1132.7837 244.4495 2.4021 
2080.7417 1133.0913 244.8773 2.4028 
2081.0760 1133.3773 245.2887 2.4035 
2081.4461 1133.5463 245.6761 2.4044 
2081.8870 1133.6062 246.0539 2.4056 
2082.3678 1133.5590 246.4447 2.4071 
2083.0364 1133.3042 246.8584 2.4088 
2083.8872 1132.8936 247.2939 2.4104 
2084.9238 1132.3072 247.7327 2.4117 
2086.0383 1131.6342 248.1629 2.4130 
2087.1378 1130.8876 248.6002 2.4143 
2088.1755 1130.0278 249.0711 2.4154 
2089.2677 1129.1373 249.3984 2.4165 
2090.4914 1128.1125 249.7152 2.4178 
2091.7883 1127.0480 250.0161 2.4192 
2093.1298 1125.8983 250.3026 2.4207 
2094.4790 1124.6442 250.5787 2.4223 
2095.8004 1123.2326 250.8364 2.4239 
2097.0414 1121.7200 251.0824 2.4256 
2098.2001 1120.1331 251.3247 2.4273 
2099.2103 1118.5549 251.5778 2.4290 
